source,target,weight
amusedly,laugh,1
amusedly,like,1
amusedly,lucky,1
amusedly,mile,1
amusedly,mood,1
amusedly,photo,1
amusedly,shine,1
amusedly,small,1
amusedly,sweet,1
amusedly,teeth,1
amusedly,virtuous,1
ancient,advance,1
ancient,age,1
ancient,aged,1
ancient,black,1
ancient,deadly,1
ancient,elder,1
ancient,elderly,1
ancient,fashion,1
ancient,generation,1
ancient,gentle,1
ancient,girls,1
ancient,grandfather,1
ancient,history,1
ancient,house,1
ancient,illness,1
ancient,inconvenience,1
ancient,live,1
ancient,man,1
ancient,money,1
ancient,new,1
ancient,older,1
ancient,sea,1
ancient,senior,1
ancient,sick,1
ancient,smile,1
ancient,song,1
ancient,spot,1
ancient,system,1
ancient,teenager,1
ancient,weak,1
ancient,white,1
ancient,woman,1
ancient,women,1
ancient,wrinkle,1
ancient,year,1
ancient,young,1
ancient,younger,1
angel,acquaint,1
angel,angry,1
angel,comfortable,1
angel,doggy,1
angel,expression,1
angel,face,1
angel,friendly,1
angel,lucky,1
angel,mile,1
angel,mood,1
angel,photo,1
angel,shine,1
angry,acquaint,1
angry,comfortable,1
angry,expression,1
angry,face,1
angry,friendly,1
angry,lucky,1
angry,mile,1
angry,mood,1
angry,photo,1
angry,shine,1
animal,absorb,1
animal,accompany,1
animal,allure,1
animal,appeal,1
animal,arouse,1
animal,attack,1
animal,attention,1
animal,attracted,1
animal,attraction,1
animal,attractive,1
animal,baby,1
animal,beautiful,1
animal,big,1
animal,black,1
animal,body,1
animal,book,1
animal,boyfriend,1
animal,catch,1
animal,cause,1
animal,charm,1
animal,charming,1
animal,clothes,1
animal,computer,1
animal,contract,1
animal,contribution,1
animal,cow,1
animal,cut,1
animal,cute,1
animal,deserve,1
animal,dig,1
animal,doggie,1
animal,doggy,1
animal,dore,1
animal,dove,1
animal,duck,1
animal,emotion,1
animal,energy,1
animal,equal,1
animal,everything,1
animal,face,1
animal,faithful,1
animal,fake,1
animal,family,1
animal,fascinate,1
animal,flavor,1
animal,food,1
animal,friend,2
animal,game,1
animal,girl,1
animal,good,1
animal,grasp,1
animal,handsome,1
animal,happily,1
animal,happiness,1
animal,happy,2
animal,hate,1
animal,hatred,1
animal,heart,2
animal,husky,1
animal,i,1
animal,idea,1
animal,interest,1
animal,interesting,1
animal,jack,1
animal,kind,1
animal,life,1
animal,like,2
animal,love,1
animal,lover,1
animal,loyal,2
animal,lure,1
animal,mind,1
animal,mother,1
animal,nature,1
animal,notice,1
animal,obsess,1
animal,parent,1
animal,passion,1
animal,people,2
